# git_sha=116cdad5795775cff210d379367c29d1a476413c-dirty
# timestamp_utc=2026-07-24T08:03:45.363758+00:00
# device=cpu
# cpu_model=Apple M2  os_cpu_count=8  requested_threads=6
# torch=2.10.0 numpy=2.3.4 scipy=1.16.3 python=3.14.3
# config={"T": 20.0, "alpha": 0.1, "arms": ["mc", "antithetic", "cv", "qmc"], "base_dt": 0.05, "beta": 0.5, "budgets": [128, 256, 512, 1024, 2048], "cv_pilot": 512, "estimand": "terminal mean_i C_i(T)", "lam": 0.3, "n_nodes": 200, "n_steps": 400, "p_er": 0.05025125628140704, "quick": false, "ref_samples": 20000, "rel_eps": [0.02, 0.01, 0.005], "reps": 40, "seed": 0, "sigmas": [0.1, 0.433], "topology": "er"}
sigma,method,N,rep,estimate,paths_charged,work_units,ref_mean,abs_err
0.1,qmc,1024,28,0.7497176527156196,1024,409600,0.7497294702606984,1.1817545078729452e-05
0.1,qmc,1024,29,0.7497240001881204,1024,409600,0.7497294702606984,5.4700725780065795e-06
0.1,qmc,1024,30,0.7497283484181094,1024,409600,0.7497294702606984,1.121842588935884e-06
0.1,qmc,1024,31,0.7497618894494901,1024,409600,0.7497294702606984,3.241918879171024e-05
0.1,qmc,1024,32,0.7497394635171468,1024,409600,0.7497294702606984,9.993256448459498e-06
0.1,qmc,1024,33,0.7497174636313577,1024,409600,0.7497294702606984,1.2006629340644004e-05
0.1,qmc,1024,34,0.7497114607242455,1024,409600,0.7497294702606984,1.8009536452812114e-05
0.1,qmc,1024,35,0.7497316993976992,1024,409600,0.7497294702606984,2.2291370008753475e-06
0.1,qmc,1024,36,0.7497156481926812,1024,409600,0.7497294702606984,1.382206801714414e-05
0.1,qmc,1024,37,0.7497223949300478,1024,409600,0.7497294702606984,7.075330650585521e-06
0.1,qmc,1024,38,0.749742064728804,1024,409600,0.7497294702606984,1.2594468105642243e-05
0.1,qmc,1024,39,0.7497248038391527,1024,409600,0.7497294702606984,4.666421545618249e-06
0.1,qmc,2048,0,0.749731347277349,2048,819200,0.7497294702606984,1.8770166506643093e-06
0.1,qmc,2048,1,0.7497324499385494,2048,819200,0.7497294702606984,2.9796778510116084e-06
0.1,qmc,2048,2,0.7497290434572228,2048,819200,0.7497294702606984,4.2680347556167675e-07
0.1,qmc,2048,3,0.7497279832585353,2048,819200,0.7497294702606984,1.4870021630697394e-06
0.1,qmc,2048,4,0.7497260762000854,2048,819200,0.7497294702606984,3.3940606130045126e-06
0.1,qmc,2048,5,0.7497388874727287,2048,819200,0.7497294702606984,9.417212030293776e-06
0.1,qmc,2048,6,0.7497249751327565,2048,819200,0.7497294702606984,4.495127941872568e-06
0.1,qmc,2048,7,0.749714356630949,2048,819200,0.7497294702606984,1.5113629749374802e-05
0.1,qmc,2048,8,0.749725387941044,2048,819200,0.7497294702606984,4.082319654319377e-06
0.1,qmc,2048,9,0.749731989242022,2048,819200,0.7497294702606984,2.518981323640368e-06
0.1,qmc,2048,10,0.7497330176318904,2048,819200,0.7497294702606984,3.5473711920142037e-06
0.1,qmc,2048,11,0.7497374632336676,2048,819200,0.7497294702606984,7.992972969272927e-06
0.1,qmc,2048,12,0.7497255362182385,2048,819200,0.7497294702606984,3.934042459907694e-06
0.1,qmc,2048,13,0.7497243510227738,2048,819200,0.7497294702606984,5.119237924566811e-06
0.1,qmc,2048,14,0.7497297938936093,2048,819200,0.7497294702606984,3.2363291091463964e-07
0.1,qmc,2048,15,0.7497190969740593,2048,819200,0.7497294702606984,1.0373286639109303e-05
0.1,qmc,2048,16,0.7497245412646523,2048,819200,0.7497294702606984,4.928996046094092e-06
0.1,qmc,2048,17,0.7497328894000759,2048,819200,0.7497294702606984,3.4191393775140355e-06
0.1,qmc,2048,18,0.7497331373874827,2048,819200,0.7497294702606984,3.6671267843457755e-06
0.1,qmc,2048,19,0.7497179657122097,2048,819200,0.7497294702606984,1.150454848863891e-05
