B,method,seed,estimate,work,degenerate,ess,wall_s,ref
25.0,gpu_mlmc_is,6,7.984394201450929e-08,10000000,False,6.590954129398136,0.12451562500064028,8.29109774195764e-09
25.0,gpu_mlmc_is,7,7.325632972004088e-08,10000000,False,3.4760566353816422,0.12470537500121281,8.29109774195764e-09
25.0,gpu_mlmc_is,8,1.65681530729899e-07,10000000,False,7.732507631382494,0.12583187500058557,8.29109774195764e-09
25.0,gpu_mlmc_is,9,6.964141414530584e-07,10000000,False,31.338985571344402,0.12543025000195485,8.29109774195764e-09
25.0,ams,0,5.08427619934082e-09,1356866,False,2500.0,0.0550276659996598,8.29109774195764e-09
25.0,ams,1,8.815526962280274e-09,1382398,False,2500.0,0.05662529099936364,8.29109774195764e-09
25.0,ams,2,8.118152618408202e-09,1355615,False,2500.0,0.05511612500049523,8.29109774195764e-09
25.0,ams,3,1.4674663543701172e-08,1411048,False,2500.0,0.061524624998128274,8.29109774195764e-09
25.0,ams,4,4.854798316955566e-09,1365067,False,2500.0,0.05675762499959092,8.29109774195764e-09
25.0,ams,5,9.828805923461914e-09,1391973,False,2500.0,0.0634145840012934,8.29109774195764e-09
25.0,ams,6,8.83340835571289e-09,1377608,False,2500.0,0.06106595800156356,8.29109774195764e-09
25.0,ams,7,7.128715515136719e-09,1379338,False,2500.0,0.06106991699925857,8.29109774195764e-09
25.0,ams,8,4.917383193969727e-09,1362759,False,2500.0,0.06020274999900721,8.29109774195764e-09
25.0,ams,9,1.3875961303710938e-08,1400227,False,2500.0,0.059698208002373576,8.29109774195764e-09
25.0,cross_entropy,0,1.5598744062172913e-07,18000000,False,12.11821687946461,0.1180627909998293,8.29109774195764e-09
25.0,cross_entropy,1,1.2070710194411493e-07,18000000,False,6.886003383189424,0.1182885839989467,8.29109774195764e-09
25.0,cross_entropy,2,2.0915790260724037e-07,18000000,False,8.503212505685477,0.11773929100309033,8.29109774195764e-09
25.0,cross_entropy,3,8.516609187668946e-08,18000000,False,12.255045289389821,0.11776766699767904,8.29109774195764e-09
25.0,cross_entropy,4,1.4872955774588124e-07,18000000,False,11.960724247494692,0.11908250000124099,8.29109774195764e-09
25.0,cross_entropy,5,1.6129599863063e-08,18000000,False,1.0710407110432523,0.1180155840011139,8.29109774195764e-09
25.0,cross_entropy,6,3.016973377461842e-07,18000000,False,18.24627482324011,0.12414404199807905,8.29109774195764e-09
25.0,cross_entropy,7,1.8609434560911937e-07,18000000,False,17.855766897942896,0.11817983299988555,8.29109774195764e-09
25.0,cross_entropy,8,7.436056196624793e-08,18000000,False,6.796302716246303,0.11798712499876274,8.29109774195764e-09
25.0,cross_entropy,9,1.0304417517253688e-07,18000000,False,3.263915658670932,0.1176357080003072,8.29109774195764e-09
